H1	H2
ScomH1c03g0011264	ScomH2c03g0011184
ScomH1c03g0011265	ScomH2c03g0011185
ScomH1c03g0011266	ScomH2c03g0011186
ScomH1c03g0011268	ScomH2c03g0011188
ScomH1c03g0011269	ScomH2c03g0011190
ScomH1c03g0011271	ScomH2c03g0011192
ScomH1c03g0011272	ScomH2c03g0011193
ScomH1c03g0011274	ScomH2c03g0011194
ScomH1c03g0011275	ScomH2c03g0011195
ScomH1c03g0011276	ScomH2c03g0011196
ScomH1c03g0011277	ScomH2c03g0011197
ScomH1c03g0011279	ScomH2c03g0011199
ScomH1c03g0011280	ScomH2c03g0011200
ScomH1c03g0011281	ScomH2c03g0011201
ScomH1c03g0011283	ScomH2c03g0011202
ScomH1c03g0011284	ScomH2c03g0011203
ScomH1c03g0011285	ScomH2c03g0011204
ScomH1c03g0011286	ScomH2c03g0011205
ScomH1c03g0011287	ScomH2c03g0011206
ScomH1c03g0011288	ScomH2c03g0011207
ScomH1c03g0011289	ScomH2c03g0011208
ScomH1c03g0011290	ScomH2c03g0011209
ScomH1c03g0011291	ScomH2c03g0011210
ScomH1c03g0011293	ScomH2c03g0011212
ScomH1c03g0011294	ScomH2c03g0011213
ScomH1c03g0011295	ScomH2c03g0011215
ScomH1c03g0011296	ScomH2c03g0011216
ScomH1c03g0011297	ScomH2c03g0011217
ScomH1c03g0011299	ScomH2c03g0011218
ScomH1c03g0011300	ScomH2c03g0011220
ScomH1c03g0011301	ScomH2c03g0011221
ScomH1c03g0011302	ScomH2c03g0011222
ScomH1c03g0011304	ScomH2c03g0011224
ScomH1c03g0011305	ScomH2c03g0011225
ScomH1c03g0011306	ScomH2c03g0011226
ScomH1c03g0011307	ScomH2c03g0011227
ScomH1c03g0011308	ScomH2c03g0011228
ScomH1c03g0011309	ScomH2c03g0011229
ScomH1c03g0011310	ScomH2c03g0011230
ScomH1c03g0011316	ScomH2c03g0011232
ScomH1c03g0011317	ScomH2c03g0011233
ScomH1c03g0011318	ScomH2c03g0011234
ScomH1c03g0011319	ScomH2c03g0011235
ScomH1c03g0011320	ScomH2c03g0011236
ScomH1c03g0011322	ScomH2c03g0011238
ScomH1c03g0011324	ScomH2c03g0011240
ScomH1c03g0011325	ScomH2c03g0011241
ScomH1c03g0011326	ScomH2c03g0011242
ScomH1c03g0011327	ScomH2c03g0011243
ScomH1c03g0011328	ScomH2c03g0011244
ScomH1c03g0011329	ScomH2c03g0011245
ScomH1c03g0011331	ScomH2c03g0011246
ScomH1c03g0011332	ScomH2c03g0011247
ScomH1c03g0011333	ScomH2c03g0011248
ScomH1c03g0011334	ScomH2c03g0011249
ScomH1c03g0011335	ScomH2c03g0011250
ScomH1c03g0011336	ScomH2c03g0011251
ScomH1c03g0011337	ScomH2c03g0011252
ScomH1c03g0011340	ScomH2c03g0011256
ScomH1c03g0011342	ScomH2c03g0011257
ScomH1c03g0011343	ScomH2c03g0011258
ScomH1c03g0011344	ScomH2c03g0011259
ScomH1c03g0011345	ScomH2c03g0011260
ScomH1c03g0011346	ScomH2c03g0011261
ScomH1c03g0011347	ScomH2c03g0011262
ScomH1c03g0011348	ScomH2c03g0011263
ScomH1c03g0011349	ScomH2c03g0011264
ScomH1c03g0011350	ScomH2c03g0011265
ScomH1c03g0011351	ScomH2c03g0011266
ScomH1c03g0011352	ScomH2c03g0011267
ScomH1c03g0011353	ScomH2c03g0011268
ScomH1c03g0011354	ScomH2c03g0011269
ScomH1c03g0011356	ScomH2c03g0011271
ScomH1c03g0011357	ScomH2c03g0011272
ScomH1c03g0011358	ScomH2c03g0011273
ScomH1c03g0011359	ScomH2c03g0011274
ScomH1c03g0011360	ScomH2c03g0011275
ScomH1c03g0011361	ScomH2c03g0011276
ScomH1c03g0011362	ScomH2c03g0011277
ScomH1c03g0011363	ScomH2c03g0011278
ScomH1c03g0011364	ScomH2c03g0011279
ScomH1c03g0011365	ScomH2c03g0011280
ScomH1c03g0011366	ScomH2c03g0011281
ScomH1c03g0011368	ScomH2c03g0011283
ScomH1c03g0011369	ScomH2c03g0011284
ScomH1c03g0011370	ScomH2c03g0011285
ScomH1c03g0011371	ScomH2c03g0011286
ScomH1c03g0011372	ScomH2c03g0011287
ScomH1c03g0011373	ScomH2c03g0011288
ScomH1c03g0011374	ScomH2c03g0011289
ScomH1c03g0011375	ScomH2c03g0011290
ScomH1c03g0011376	ScomH2c03g0011291
ScomH1c03g0011377	ScomH2c03g0011292
ScomH1c03g0011378	ScomH2c03g0011293
ScomH1c03g0011379	ScomH2c03g0011294
ScomH1c03g0011380	ScomH2c03g0011295
ScomH1c03g0011381	ScomH2c03g0011296
ScomH1c03g0011382	ScomH2c03g0011297
ScomH1c03g0011383	ScomH2c03g0011298
ScomH1c03g0011385	ScomH2c03g0011299
ScomH1c03g0011386	ScomH2c03g0011300
ScomH1c03g0011387	ScomH2c03g0011301
ScomH1c03g0011388	ScomH2c03g0011302
ScomH1c03g0011390	ScomH2c03g0011303
ScomH1c03g0011391	ScomH2c03g0011304
ScomH1c03g0011392	ScomH2c03g0011305
ScomH1c03g0011393	ScomH2c03g0011306
ScomH1c03g0011394	ScomH2c03g0011307
ScomH1c03g0011396	ScomH2c03g0011309
ScomH1c03g0011397	ScomH2c03g0011310
ScomH1c03g0011398	ScomH2c03g0011311
ScomH1c03g0011399	ScomH2c03g0011312
ScomH1c03g0011400	ScomH2c03g0011313
ScomH1c03g0011401	ScomH2c03g0011314
ScomH1c03g0011402	ScomH2c03g0011315
ScomH1c03g0011403	ScomH2c03g0011316
ScomH1c03g0011405	ScomH2c03g0011318
ScomH1c03g0011406	ScomH2c03g0011319
ScomH1c03g0011407	ScomH2c03g0011321
ScomH1c03g0011411	ScomH2c03g0011322
ScomH1c03g0011412	ScomH2c03g0011325
ScomH1c03g0011414	ScomH2c03g0011327
ScomH1c03g0011415	ScomH2c03g0011328
ScomH1c03g0011416	ScomH2c03g0011330
ScomH1c03g0011417	ScomH2c03g0011331
ScomH1c03g0011418	ScomH2c03g0011332
ScomH1c03g0011419	ScomH2c03g0011333
ScomH1c03g0011420	ScomH2c03g0011334
ScomH1c03g0011421	ScomH2c03g0011335
ScomH1c03g0011422	ScomH2c03g0011337
ScomH1c03g0011423	ScomH2c03g0011338
ScomH1c03g0011424	ScomH2c03g0011339
ScomH1c03g0011425	ScomH2c03g0011340
ScomH1c03g0011426	ScomH2c03g0011341
ScomH1c03g0011428	ScomH2c03g0011343
ScomH1c03g0011429	ScomH2c03g0011344
ScomH1c03g0011430	ScomH2c03g0011345
ScomH1c03g0011431	ScomH2c03g0011346
ScomH1c03g0011432	ScomH2c03g0011347
ScomH1c03g0011433	ScomH2c03g0011348
ScomH1c03g0011434	ScomH2c03g0011349
ScomH1c03g0011435	ScomH2c03g0011350
ScomH1c03g0011438	ScomH2c03g0011353
ScomH1c03g0011439	ScomH2c03g0011354
ScomH1c03g0011440	ScomH2c03g0011355
ScomH1c03g0011441	ScomH2c03g0011356
ScomH1c03g0011443	ScomH2c03g0011358
ScomH1c03g0011444	ScomH2c03g0011359
ScomH1c03g0011445	ScomH2c03g0011360
ScomH1c03g0011447	ScomH2c03g0011363
ScomH1c03g0011448	ScomH2c03g0011364
ScomH1c03g0011449	ScomH2c03g0011365
ScomH1c03g0011450	ScomH2c03g0011366
ScomH1c03g0011451	ScomH2c03g0011367
ScomH1c03g0011452	ScomH2c03g0011368
ScomH1c03g0011453	ScomH2c03g0011369
ScomH1c03g0011454	ScomH2c03g0011370
ScomH1c03g0011455	ScomH2c03g0011371
ScomH1c03g0011456	ScomH2c03g0011372
ScomH1c03g0011457	ScomH2c03g0011373
ScomH1c03g0011458	ScomH2c03g0011374
ScomH1c03g0011459	ScomH2c03g0011375
ScomH1c03g0011462	ScomH2c03g0011376
ScomH1c03g0011464	ScomH2c03g0011378
ScomH1c03g0011466	ScomH2c03g0011380
ScomH1c03g0011467	ScomH2c03g0011381
ScomH1c03g0011469	ScomH2c03g0011383
ScomH1c03g0011470	ScomH2c03g0011384
ScomH1c03g0011471	ScomH2c03g0011385
ScomH1c03g0011472	ScomH2c03g0011386
ScomH1c03g0011473	ScomH2c03g0011387
ScomH1c03g0011474	ScomH2c03g0011388
ScomH1c03g0011475	ScomH2c03g0011389
ScomH1c03g0011476	ScomH2c03g0011390
ScomH1c03g0011477	ScomH2c03g0011391
ScomH1c03g0011478	ScomH2c03g0011392
ScomH1c03g0011481	ScomH2c03g0011395
ScomH1c03g0011482	ScomH2c03g0011396
ScomH1c03g0011483	ScomH2c03g0011397
ScomH1c03g0011484	ScomH2c03g0011398
ScomH1c03g0011485	ScomH2c03g0011399
ScomH1c03g0011487	ScomH2c03g0011401
ScomH1c03g0011488	ScomH2c03g0011402
ScomH1c03g0011489	ScomH2c03g0011403
ScomH1c03g0011490	ScomH2c03g0011404
ScomH1c03g0011491	ScomH2c03g0011405
ScomH1c03g0011492	ScomH2c03g0011406
ScomH1c03g0011496	ScomH2c03g0011407
ScomH1c03g0011497	ScomH2c03g0011411
ScomH1c03g0011499	ScomH2c03g0011413
ScomH1c03g0011500	ScomH2c03g0011414
ScomH1c03g0011501	ScomH2c03g0011415
ScomH1c03g0011502	ScomH2c03g0011416
ScomH1c03g0011503	ScomH2c03g0011417
ScomH1c03g0011504	ScomH2c03g0011418
ScomH1c03g0011505	ScomH2c03g0011419
ScomH1c03g0011506	ScomH2c03g0011420
ScomH1c03g0011507	ScomH2c03g0011421
ScomH1c03g0011508	ScomH2c03g0011422
ScomH1c03g0011509	ScomH2c03g0011423
ScomH1c03g0011510	ScomH2c03g0011424
ScomH1c03g0011511	ScomH2c03g0011425
ScomH1c03g0011512	ScomH2c03g0011426
ScomH1c03g0011514	ScomH2c03g0011427
ScomH1c03g0011515	ScomH2c03g0011429
ScomH1c03g0011516	ScomH2c03g0011430
ScomH1c03g0011517	ScomH2c03g0011431
ScomH1c03g0011518	ScomH2c03g0011432
ScomH1c03g0011520	ScomH2c03g0011434
ScomH1c03g0011521	ScomH2c03g0011435
ScomH1c03g0011522	ScomH2c03g0011436
ScomH1c03g0011523	ScomH2c03g0011437
ScomH1c03g0011524	ScomH2c03g0011438
ScomH1c03g0011525	ScomH2c03g0011439
ScomH1c03g0011526	ScomH2c03g0011440
ScomH1c03g0011527	ScomH2c03g0011441
ScomH1c03g0011528	ScomH2c03g0011442
ScomH1c03g0011529	ScomH2c03g0011443
ScomH1c03g0011530	ScomH2c03g0011444
ScomH1c03g0011533	ScomH2c03g0011446
ScomH1c03g0011534	ScomH2c03g0011447
ScomH1c03g0011536	ScomH2c03g0011449
ScomH1c03g0011537	ScomH2c03g0011450
ScomH1c03g0011538	ScomH2c03g0011451
ScomH1c03g0011539	ScomH2c03g0011452
ScomH1c03g0011540	ScomH2c03g0011453
ScomH1c03g0011541	ScomH2c03g0011454
ScomH1c03g0011542	ScomH2c03g0011455
ScomH1c03g0011543	ScomH2c03g0011456
ScomH1c03g0011544	ScomH2c03g0011457
ScomH1c03g0011546	ScomH2c03g0011458
ScomH1c03g0011547	ScomH2c03g0011459
ScomH1c03g0011548	ScomH2c03g0011460
ScomH1c03g0011549	ScomH2c03g0011461
ScomH1c03g0011550	ScomH2c03g0011462
ScomH1c03g0011551	ScomH2c03g0011463
ScomH1c03g0011556	ScomH2c03g0011465
ScomH1c03g0011557	ScomH2c03g0011466
ScomH1c03g0011558	ScomH2c03g0011467
ScomH1c03g0011559	ScomH2c03g0011468
ScomH1c03g0011560	ScomH2c03g0011469
ScomH1c03g0011561	ScomH2c03g0011470
ScomH1c03g0011562	ScomH2c03g0011471
ScomH1c03g0011565	ScomH2c03g0011474
ScomH1c03g0011566	ScomH2c03g0011475
ScomH1c03g0011567	ScomH2c03g0011476
ScomH1c03g0011568	ScomH2c03g0011477
ScomH1c03g0011569	ScomH2c03g0011478
ScomH1c03g0011570	ScomH2c03g0011479
ScomH1c03g0011572	ScomH2c03g0011481
ScomH1c03g0011573	ScomH2c03g0011482
ScomH1c03g0011574	ScomH2c03g0011483
ScomH1c03g0011579	ScomH2c03g0011487
ScomH1c03g0011583	ScomH2c03g0011494
ScomH1c03g0011585	ScomH2c03g0011495
ScomH1c03g0011586	ScomH2c03g0011496
ScomH1c03g0011587	ScomH2c03g0011497
ScomH1c03g0011588	ScomH2c03g0011498
ScomH1c03g0011589	ScomH2c03g0011500
ScomH1c03g0011591	ScomH2c03g0011501
ScomH1c03g0011592	ScomH2c03g0011502
ScomH1c03g0011595	ScomH2c03g0011505
ScomH1c03g0011597	ScomH2c03g0011507
ScomH1c03g0011596	ScomH2c03g0011506
ScomH1c03g0011598	ScomH2c03g0011508
ScomH1c03g0011599	ScomH2c03g0011509
ScomH1c03g0011600	ScomH2c03g0011510
ScomH1c03g0011601	ScomH2c03g0011511
ScomH1c03g0011602	ScomH2c03g0011512
ScomH1c03g0011603	ScomH2c03g0011513
ScomH1c03g0011604	ScomH2c03g0011514
ScomH1c03g0011605	ScomH2c03g0011515
ScomH1c03g0011606	ScomH2c03g0011516
ScomH1c03g0011607	ScomH2c03g0011517
ScomH1c03g0011608	ScomH2c03g0011518
ScomH1c03g0011609	ScomH2c03g0011519
ScomH1c03g0011610	ScomH2c03g0011520
ScomH1c03g0011611	ScomH2c03g0011521
ScomH1c03g0011612	ScomH2c03g0011522
ScomH1c03g0011613	ScomH2c03g0011523
ScomH1c03g0011614	ScomH2c03g0011524
ScomH1c03g0011615	ScomH2c03g0011525
ScomH1c03g0011616	ScomH2c03g0011526
ScomH1c03g0011618	ScomH2c03g0011528
ScomH1c03g0011619	ScomH2c03g0011529
ScomH1c03g0011620	ScomH2c03g0011530
ScomH1c03g0011621	ScomH2c03g0011531
ScomH1c03g0011624	ScomH2c03g0011534
ScomH1c03g0011625	ScomH2c03g0011535
ScomH1c03g0011626	ScomH2c03g0011536
ScomH1c03g0011628	ScomH2c03g0011537
ScomH1c03g0011630	ScomH2c03g0011539
ScomH1c03g0011631	ScomH2c03g0011540
ScomH1c03g0011632	ScomH2c03g0011541
ScomH1c03g0011633	ScomH2c03g0011542
ScomH1c03g0011634	ScomH2c03g0011543
ScomH1c03g0011636	ScomH2c03g0011545
ScomH1c03g0011637	ScomH2c03g0011546
ScomH1c03g0011638	ScomH2c03g0011547
ScomH1c03g0011639	ScomH2c03g0011548
ScomH1c03g0011640	ScomH2c03g0011549
ScomH1c03g0011641	ScomH2c03g0011550
ScomH1c03g0011642	ScomH2c03g0011551
ScomH1c03g0011643	ScomH2c03g0011552
ScomH1c03g0011644	ScomH2c03g0011553
ScomH1c03g0011645	ScomH2c03g0011554
ScomH1c03g0011647	ScomH2c03g0011556
ScomH1c03g0011648	ScomH2c03g0011557
ScomH1c03g0011649	ScomH2c03g0011558
ScomH1c03g0011650	ScomH2c03g0011559
ScomH1c03g0011651	ScomH2c03g0011560
ScomH1c03g0011652	ScomH2c03g0011561
ScomH1c03g0011654	ScomH2c03g0011563
ScomH1c03g0011655	ScomH2c03g0011564
ScomH1c03g0011656	ScomH2c03g0011565
ScomH1c03g0011657	ScomH2c03g0011566
ScomH1c03g0011658	ScomH2c03g0011567
ScomH1c03g0011659	ScomH2c03g0011568
ScomH1c03g0011660	ScomH2c03g0011569
ScomH1c03g0011661	ScomH2c03g0011570
ScomH1c03g0011662	ScomH2c03g0011571
ScomH1c03g0011663	ScomH2c03g0011572
ScomH1c03g0011664	ScomH2c03g0011573
ScomH1c03g0011666	ScomH2c03g0011575
ScomH1c03g0011667	ScomH2c03g0011576
ScomH1c03g0011668	ScomH2c03g0011577
ScomH1c03g0011671	ScomH2c03g0011580
ScomH1c03g0011672	ScomH2c03g0011581
ScomH1c03g0011676	ScomH2c03g0011582
ScomH1c03g0011677	ScomH2c03g0011583
ScomH1c03g0011678	ScomH2c03g0011584
ScomH1c03g0011683	ScomH2c03g0011589
ScomH1c03g0011684	ScomH2c03g0011590
ScomH1c03g0011685	ScomH2c03g0011591
ScomH1c03g0011686	ScomH2c03g0011592
ScomH1c03g0011687	ScomH2c03g0011593
ScomH1c03g0011688	ScomH2c03g0011594
ScomH1c03g0011689	ScomH2c03g0011595
ScomH1c03g0011690	ScomH2c03g0011596
ScomH1c03g0011691	ScomH2c03g0011597
ScomH1c03g0011692	ScomH2c03g0011598
ScomH1c03g0011693	ScomH2c03g0011599
ScomH1c03g0011694	ScomH2c03g0011600
ScomH1c03g0011695	ScomH2c03g0011601
ScomH1c03g0011696	ScomH2c03g0011602
ScomH1c03g0011697	ScomH2c03g0011603
ScomH1c03g0011698	ScomH2c03g0011604
ScomH1c03g0011699	ScomH2c03g0011605
ScomH1c03g0011700	ScomH2c03g0011606
ScomH1c03g0011702	ScomH2c03g0011608
ScomH1c03g0011703	ScomH2c03g0011609
ScomH1c03g0011704	ScomH2c03g0011610
ScomH1c03g0011706	ScomH2c03g0011612
ScomH1c03g0011708	ScomH2c03g0011614
ScomH1c03g0011713	ScomH2c03g0011617
ScomH1c03g0011714	ScomH2c03g0011618
ScomH1c03g0011715	ScomH2c03g0011619
ScomH1c03g0011716	ScomH2c03g0011620
ScomH1c03g0011717	ScomH2c03g0011621
ScomH1c03g0011718	ScomH2c03g0011622
ScomH1c03g0011719	ScomH2c03g0011623
ScomH1c03g0011721	ScomH2c03g0011625
ScomH1c03g0011722	ScomH2c03g0011626
ScomH1c03g0011723	ScomH2c03g0011627
ScomH1c03g0011724	ScomH2c03g0011628
ScomH1c03g0011725	ScomH2c03g0011629
ScomH1c03g0011726	ScomH2c03g0011630
ScomH1c03g0011727	ScomH2c03g0011631
ScomH1c03g0011728	ScomH2c03g0011632
ScomH1c03g0011731	ScomH2c03g0011633
ScomH1c03g0011734	ScomH2c03g0011636
ScomH1c03g0011735	ScomH2c03g0011637
ScomH1c03g0011737	ScomH2c03g0011638
ScomH1c03g0011738	ScomH2c03g0011639
ScomH1c03g0011739	ScomH2c03g0011640
ScomH1c03g0011740	ScomH2c03g0011641
ScomH1c03g0011742	ScomH2c03g0011643
ScomH1c03g0011743	ScomH2c03g0011644
ScomH1c03g0011744	ScomH2c03g0011645
ScomH1c03g0011745	ScomH2c03g0011646
ScomH1c03g0011746	ScomH2c03g0011647
ScomH1c03g0011747	ScomH2c03g0011648
ScomH1c03g0011748	ScomH2c03g0011649
ScomH1c03g0011749	ScomH2c03g0011650
ScomH1c03g0011750	ScomH2c03g0011651
ScomH1c03g0011751	ScomH2c03g0011652
ScomH1c03g0011752	ScomH2c03g0011653
ScomH1c03g0011753	ScomH2c03g0011654
ScomH1c03g0011755	ScomH2c03g0011655
ScomH1c03g0011757	ScomH2c03g0011657
ScomH1c03g0011759	ScomH2c03g0011660
ScomH1c03g0011760	ScomH2c03g0011661
ScomH1c03g0011762	ScomH2c03g0011663
ScomH1c03g0011763	ScomH2c03g0011664
ScomH1c03g0011764	ScomH2c03g0011665
ScomH1c03g0011766	ScomH2c03g0011668
ScomH1c03g0011767	ScomH2c03g0011669
ScomH1c03g0011768	ScomH2c03g0011670
ScomH1c03g0011769	ScomH2c03g0011671
ScomH1c03g0011770	ScomH2c03g0011672
ScomH1c03g0011771	ScomH2c03g0011673
ScomH1c03g0011772	ScomH2c03g0011674
ScomH1c03g0011773	ScomH2c03g0011675
ScomH1c03g0011775	ScomH2c03g0011677
ScomH1c03g0011776	ScomH2c03g0011678
ScomH1c03g0011777	ScomH2c03g0011679
ScomH1c03g0011778	ScomH2c03g0011680
ScomH1c03g0011780	ScomH2c03g0011682
ScomH1c03g0011782	ScomH2c03g0011683
ScomH1c03g0011783	ScomH2c03g0011684
ScomH1c03g0011784	ScomH2c03g0011685
ScomH1c03g0011787	ScomH2c03g0011687
ScomH1c03g0011788	ScomH2c03g0011688
ScomH1c03g0011791	ScomH2c03g0011691
ScomH1c03g0011792	ScomH2c03g0011692
ScomH1c03g0011793	ScomH2c03g0011693
ScomH1c03g0011794	ScomH2c03g0011694
ScomH1c03g0011795	ScomH2c03g0011695
ScomH1c03g0011796	ScomH2c03g0011696
ScomH1c03g0011797	ScomH2c03g0011697
ScomH1c03g0011798	ScomH2c03g0011698
ScomH1c03g0011801	ScomH2c03g0011701
ScomH1c03g0011802	ScomH2c03g0011702
ScomH1c03g0011806	ScomH2c03g0011704
ScomH1c03g0011808	ScomH2c03g0011708
ScomH1c03g0011810	ScomH2c03g0011709
ScomH1c03g0011811	ScomH2c03g0011710
ScomH1c03g0011812	ScomH2c03g0011711
ScomH1c03g0011813	ScomH2c03g0011712
ScomH1c03g0011817	ScomH2c03g0011715
ScomH1c03g0011818	ScomH2c03g0011716
ScomH1c03g0011819	ScomH2c03g0011717
ScomH1c03g0011820	ScomH2c03g0011718
ScomH1c03g0011821	ScomH2c03g0011719
ScomH1c03g0011823	ScomH2c03g0011721
ScomH1c03g0011824	ScomH2c03g0011722
ScomH1c03g0011826	ScomH2c03g0011724
ScomH1c03g0011827	ScomH2c03g0011725
ScomH1c03g0011829	ScomH2c03g0011726
ScomH1c03g0011830	ScomH2c03g0011727
ScomH1c03g0011831	ScomH2c03g0011728
ScomH1c03g0011832	ScomH2c03g0011729
ScomH1c03g0011833	ScomH2c03g0011730
ScomH1c03g0011836	ScomH2c03g0011733
ScomH1c03g0011837	ScomH2c03g0011734
ScomH1c03g0011839	ScomH2c03g0011736
ScomH1c03g0011840	ScomH2c03g0011737
ScomH1c03g0011844	ScomH2c03g0011741
ScomH1c03g0011845	ScomH2c03g0011742
ScomH1c03g0011846	ScomH2c03g0011743
ScomH1c03g0011847	ScomH2c03g0011744
ScomH1c03g0011848	ScomH2c03g0011745
ScomH1c03g0011849	ScomH2c03g0011746
ScomH1c03g0011850	ScomH2c03g0011747
ScomH1c03g0011851	ScomH2c03g0011748
ScomH1c03g0011853	ScomH2c03g0011750
ScomH1c03g0011854	ScomH2c03g0011752
ScomH1c03g0011855	ScomH2c03g0011753
ScomH1c03g0011856	ScomH2c03g0011754
ScomH1c03g0011857	ScomH2c03g0011755
ScomH1c03g0011858	ScomH2c03g0011756
ScomH1c03g0011859	ScomH2c03g0011757
ScomH1c03g0011861	ScomH2c03g0011759
ScomH1c03g0011862	ScomH2c03g0011760
ScomH1c03g0011863	ScomH2c03g0011761
ScomH1c03g0011864	ScomH2c03g0011762
ScomH1c03g0011865	ScomH2c03g0011763
ScomH1c03g0011868	ScomH2c03g0011765
ScomH1c03g0011870	ScomH2c03g0011767
ScomH1c03g0011871	ScomH2c03g0011768
ScomH1c03g0011873	ScomH2c03g0011769
ScomH1c03g0011874	ScomH2c03g0011770
ScomH1c03g0011875	ScomH2c03g0011771
ScomH1c03g0011877	ScomH2c03g0011773
ScomH1c03g0011879	ScomH2c03g0011775
ScomH1c03g0011880	ScomH2c03g0011776
ScomH1c03g0011881	ScomH2c03g0011777
ScomH1c03g0011883	ScomH2c03g0011779
ScomH1c03g0011884	ScomH2c03g0011780
ScomH1c03g0011885	ScomH2c03g0011781
ScomH1c03g0011886	ScomH2c03g0011782
ScomH1c03g0011887	ScomH2c03g0011783
ScomH1c03g0011888	ScomH2c03g0011784
ScomH1c03g0011889	ScomH2c03g0011785
ScomH1c03g0011890	ScomH2c03g0011786
ScomH1c03g0011891	ScomH2c03g0011787
ScomH1c03g0011892	ScomH2c03g0011788
ScomH1c03g0011893	ScomH2c03g0011789
ScomH1c03g0011895	ScomH2c03g0011790
ScomH1c03g0011897	ScomH2c03g0011798
ScomH1c03g0011898	ScomH2c03g0011799
ScomH1c03g0011899	ScomH2c03g0011800
ScomH1c03g0011901	ScomH2c03g0011802
ScomH1c03g0011900	ScomH2c03g0011801
ScomH1c03g0011902	ScomH2c03g0011803
ScomH1c03g0011904	ScomH2c03g0011805
ScomH1c03g0011906	ScomH2c03g0011806
ScomH1c03g0011907	ScomH2c03g0011807
ScomH1c03g0011908	ScomH2c03g0011808
ScomH1c03g0011909	ScomH2c03g0011809
ScomH1c03g0011910	ScomH2c03g0011810
ScomH1c03g0011911	ScomH2c03g0011811
ScomH1c03g0011912	ScomH2c03g0011812
ScomH1c03g0011913	ScomH2c03g0011813
ScomH1c03g0011914	ScomH2c03g0011814
ScomH1c03g0011915	ScomH2c03g0011815
ScomH1c03g0011918	ScomH2c03g0011818
ScomH1c03g0011919	ScomH2c03g0011819
ScomH1c03g0011921	ScomH2c03g0011823
ScomH1c03g0011922	ScomH2c03g0011824
ScomH1c03g0011924	ScomH2c03g0011826
ScomH1c03g0011925	ScomH2c03g0011827
ScomH1c03g0011926	ScomH2c03g0011828
ScomH1c03g0011927	ScomH2c03g0011829
ScomH1c03g0011929	ScomH2c03g0011831
ScomH1c03g0011930	ScomH2c03g0011832
ScomH1c03g0011931	ScomH2c03g0011833
ScomH1c03g0011933	ScomH2c03g0011835
ScomH1c03g0011934	ScomH2c03g0011836
ScomH1c03g0011935	ScomH2c03g0011837
ScomH1c03g0011937	ScomH2c03g0011842
ScomH1c03g0011938	ScomH2c03g0011843
ScomH1c03g0011939	ScomH2c03g0011844
ScomH1c03g0011940	ScomH2c03g0011845
ScomH1c03g0011941	ScomH2c03g0011846
ScomH1c03g0011942	ScomH2c03g0011847
ScomH1c03g0011943	ScomH2c03g0011848
ScomH1c03g0011944	ScomH2c03g0011849
ScomH1c03g0011945	ScomH2c03g0011850
ScomH1c03g0011946	ScomH2c03g0011851
ScomH1c03g0011947	ScomH2c03g0011852
ScomH1c03g0011948	ScomH2c03g0011853
ScomH1c03g0011949	ScomH2c03g0011854
ScomH1c03g0011950	ScomH2c03g0011855
ScomH1c03g0011951	ScomH2c03g0011856
ScomH1c03g0011952	ScomH2c03g0011857
ScomH1c03g0011953	ScomH2c03g0011858
ScomH1c03g0011955	ScomH2c03g0011859
ScomH1c03g0011956	ScomH2c03g0011860
ScomH1c03g0011958	ScomH2c03g0011862
ScomH1c03g0011959	ScomH2c03g0011863
ScomH1c03g0011960	ScomH2c03g0011864
ScomH1c03g0011961	ScomH2c03g0011865
ScomH1c03g0011962	ScomH2c03g0011866
ScomH1c03g0011963	ScomH2c03g0011867
ScomH1c03g0011964	ScomH2c03g0011868
ScomH1c03g0011965	ScomH2c03g0011869
ScomH1c03g0011966	ScomH2c03g0011870
ScomH1c03g0011967	ScomH2c03g0011871
ScomH1c03g0011969	ScomH2c03g0011873
ScomH1c03g0011970	ScomH2c03g0011874
ScomH1c03g0011971	ScomH2c03g0011875
ScomH1c03g0011972	ScomH2c03g0011876
ScomH1c03g0011973	ScomH2c03g0011878
ScomH1c03g0011974	ScomH2c03g0011879
ScomH1c03g0011975	ScomH2c03g0011880
ScomH1c03g0011977	ScomH2c03g0011882
ScomH1c03g0011978	ScomH2c03g0011883
ScomH1c03g0011979	ScomH2c03g0011884
ScomH1c03g0011980	ScomH2c03g0011885
ScomH1c03g0011981	ScomH2c03g0011886
ScomH1c03g0011983	ScomH2c03g0011888
ScomH1c03g0011984	ScomH2c03g0011889
ScomH1c03g0011986	ScomH2c03g0011890
ScomH1c03g0011987	ScomH2c03g0011892
ScomH1c03g0011990	ScomH2c03g0011895
ScomH1c03g0011991	ScomH2c03g0011896
ScomH1c03g0011992	ScomH2c03g0011897
ScomH1c03g0011993	ScomH2c03g0011898
ScomH1c03g0011994	ScomH2c03g0011899
ScomH1c03g0011995	ScomH2c03g0011900
ScomH1c03g0011997	ScomH2c03g0011901
ScomH1c03g0011999	ScomH2c03g0011903
ScomH1c03g0012000	ScomH2c03g0011904
ScomH1c03g0012001	ScomH2c03g0011905
ScomH1c03g0012002	ScomH2c03g0011906
ScomH1c03g0012003	ScomH2c03g0011907
ScomH1c03g0012004	ScomH2c03g0011908
ScomH1c03g0012005	ScomH2c03g0011909
ScomH1c03g0012006	ScomH2c03g0011910
ScomH1c03g0012007	ScomH2c03g0011911
ScomH1c03g0012008	ScomH2c03g0011912
ScomH1c03g0012009	ScomH2c03g0011913
